Copyright (C) 2024  Intel Corporation. All rights reserved.
Your use of Intel Corporation's design tools, logic functions 
and other software and tools, and any partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Intel Program License 
Subscription Agreement, the Intel Quartus Prime License Agreement,
the Intel FPGA IP License Agreement, or other applicable license
agreement, including, without limitation, that your use is for
the sole purpose of programming logic devices manufactured by
Intel and sold by Intel or its authorized distributors.  Please
refer to the applicable agreement for further details, at
https://fpgasoftware.intel.com/eula.

Fitter Resource Utilization by Entity

Compilation Hierarchy Node,Logic Cells,Dedicated Logic Registers,I/O Registers,Memory Bits,M9Ks,UFM Blocks,DSP Elements,DSP 9x9,DSP 18x18,Pins,Virtual Pins,LUT-Only LCs,Register-Only LCs,LUT/Register LCs,ADC blocks,Full Hierarchy Name,Entity Name,Library Name
               |chsel_code_converter_sw_to_hw:decoder|,2 (2),0 (0),0 (0),0,0,0,0,0,0,0,0,0 (0),0 (0),2 (2),0,|cnn_vibration_monitor_10M08|adc:u0|adc_modular_adc_0:modular_adc_0|altera_modular_adc_control:control_internal|fiftyfivenm_adcblock_top_wrapper:adc_inst|chsel_code_converter_sw_to_hw:decoder,chsel_code_converter_sw_to_hw,adc
               |fiftyfivenm_adcblock_primitive_wrapper:adcblock_instance|,0 (0),0 (0),0 (0),0,0,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|adc:u0|adc_modular_adc_0:modular_adc_0|altera_modular_adc_control:control_internal|fiftyfivenm_adcblock_top_wrapper:adc_inst|fiftyfivenm_adcblock_primitive_wrapper:adcblock_instance,fiftyfivenm_adcblock_primitive_wrapper,adc
   |m08_cnn1d:cnn1d|,2612 (33),2529 (1),0 (0),576,10,0,46,0,23,0,0,83 (32),1367 (0),1162 (1),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d,m08_cnn1d,work
      |activation_layer:relu_layer|,66 (0),63 (0),0 (0),0,0,0,0,0,0,0,0,3 (0),62 (0),1 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|activation_layer:relu_layer,activation_layer,work
         |relu:RELU[0].relu|,34 (34),32 (32),0 (0),0,0,0,0,0,0,0,0,2 (2),31 (31),1 (1),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|activation_layer:relu_layer|relu:RELU[0].relu,relu,work
         |relu:RELU[1].relu|,32 (32),31 (31),0 (0),0,0,0,0,0,0,0,0,1 (1),31 (31),0 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|activation_layer:relu_layer|relu:RELU[1].relu,relu,work
      |adc2v:adc2v|,210 (42),209 (41),0 (0),0,0,0,14,0,7,0,0,1 (1),127 (39),82 (2),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|adc2v:adc2v,adc2v,work
         |mult:scale_multiplier|,78 (0),78 (0),0 (0),0,0,0,6,0,3,0,0,0 (0),50 (0),28 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|adc2v:adc2v|mult:scale_multiplier,mult,work
            |lpm_mult:lpm_mult_component|,78 (0),78 (0),0 (0),0,0,0,6,0,3,0,0,0 (0),50 (0),28 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|adc2v:adc2v|mult:scale_multiplier|lpm_mult:lpm_mult_component,lpm_mult,work
               |mult_0ms:auto_generated|,78 (78),78 (78),0 (0),0,0,0,6,0,3,0,0,0 (0),50 (50),28 (28),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|adc2v:adc2v|mult:scale_multiplier|lpm_mult:lpm_mult_component|mult_0ms:auto_generated,mult_0ms,work
         |mult:voltage_multiplier|,90 (0),90 (0),0 (0),0,0,0,8,0,4,0,0,0 (0),38 (0),52 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|adc2v:adc2v|mult:voltage_multiplier,mult,work
            |lpm_mult:lpm_mult_component|,90 (0),90 (0),0 (0),0,0,0,8,0,4,0,0,0 (0),38 (0),52 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|adc2v:adc2v|mult:voltage_multiplier|lpm_mult:lpm_mult_component,lpm_mult,work
               |mult_0ms:auto_generated|,90 (90),90 (90),0 (0),0,0,0,8,0,4,0,0,0 (0),38 (38),52 (52),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|adc2v:adc2v|mult:voltage_multiplier|lpm_mult:lpm_mult_component|mult_0ms:auto_generated,mult_0ms,work
      |conv1d_layer:conv1d_layer|,1255 (389),1237 (389),0 (0),384,7,0,16,0,8,0,0,17 (0),649 (196),589 (1),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer,conv1d_layer,work
         |conv1d:CONVOLUTION_1D[0].conv1d|,724 (296),610 (197),0 (0),0,0,0,8,0,4,0,0,17 (2),355 (161),352 (133),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|conv1d:CONVOLUTION_1D[0].conv1d,conv1d,work
            |mult_reduce:multiply_reduce|,221 (95),215 (89),0 (0),0,0,0,8,0,4,0,0,6 (6),98 (32),117 (57),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|conv1d:CONVOLUTION_1D[0].conv1d|mult_reduce:multiply_reduce,mult_reduce,work
               |mult:multiplier|,126 (0),126 (0),0 (0),0,0,0,8,0,4,0,0,0 (0),66 (0),60 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|conv1d:CONVOLUTION_1D[0].conv1d|mult_reduce:multiply_reduce|mult:multiplier,mult,work
                  |lpm_mult:lpm_mult_component|,126 (0),126 (0),0 (0),0,0,0,8,0,4,0,0,0 (0),66 (0),60 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|conv1d:CONVOLUTION_1D[0].conv1d|mult_reduce:multiply_reduce|mult:multiplier|lpm_mult:lpm_mult_component,lpm_mult,work
                     |mult_0ms:auto_generated|,126 (126),126 (126),0 (0),0,0,0,8,0,4,0,0,0 (0),66 (66),60 (60),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|conv1d:CONVOLUTION_1D[0].conv1d|mult_reduce:multiply_reduce|mult:multiplier|lpm_mult:lpm_mult_component|mult_0ms:auto_generated,mult_0ms,work
            |p2s:parallel_to_serial|,207 (207),198 (198),0 (0),0,0,0,0,0,0,0,0,9 (9),96 (96),102 (102),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|conv1d:CONVOLUTION_1D[0].conv1d|p2s:parallel_to_serial,p2s,work
         |conv1d:CONVOLUTION_1D[1].conv1d|,334 (128),238 (32),0 (0),0,0,0,8,0,4,0,0,0 (0),98 (0),236 (128),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|conv1d:CONVOLUTION_1D[1].conv1d,conv1d,work
            |mult_reduce:multiply_reduce|,206 (80),206 (80),0 (0),0,0,0,8,0,4,0,0,0 (0),98 (32),108 (48),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|conv1d:CONVOLUTION_1D[1].conv1d|mult_reduce:multiply_reduce,mult_reduce,work
               |mult:multiplier|,126 (0),126 (0),0 (0),0,0,0,8,0,4,0,0,0 (0),66 (0),60 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|conv1d:CONVOLUTION_1D[1].conv1d|mult_reduce:multiply_reduce|mult:multiplier,mult,work
                  |lpm_mult:lpm_mult_component|,126 (0),126 (0),0 (0),0,0,0,8,0,4,0,0,0 (0),66 (0),60 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|conv1d:CONVOLUTION_1D[1].conv1d|mult_reduce:multiply_reduce|mult:multiplier|lpm_mult:lpm_mult_component,lpm_mult,work
                     |mult_0ms:auto_generated|,126 (126),126 (126),0 (0),0,0,0,8,0,4,0,0,0 (0),66 (66),60 (60),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|conv1d:CONVOLUTION_1D[1].conv1d|mult_reduce:multiply_reduce|mult:multiplier|lpm_mult:lpm_mult_component|mult_0ms:auto_generated,mult_0ms,work
         |sp_ram:conv1d_biases|,0 (0),0 (0),0 (0),64,2,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|sp_ram:conv1d_biases,sp_ram,work
            |altsyncram:altsyncram_component|,0 (0),0 (0),0 (0),64,2,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|sp_ram:conv1d_biases|altsyncram:altsyncram_component,altsyncram,work
               |altsyncram_s2k1:auto_generated|,0 (0),0 (0),0 (0),64,2,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|sp_ram:conv1d_biases|altsyncram:altsyncram_component|altsyncram_s2k1:auto_generated,altsyncram_s2k1,work
         |sp_ram:conv1d_weights|,0 (0),0 (0),0 (0),320,5,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|sp_ram:conv1d_weights,sp_ram,work
            |altsyncram:altsyncram_component|,0 (0),0 (0),0 (0),320,5,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|sp_ram:conv1d_weights|altsyncram:altsyncram_component,altsyncram,work
               |altsyncram_i8k1:auto_generated|,0 (0),0 (0),0 (0),320,5,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|conv1d_layer:conv1d_layer|sp_ram:conv1d_weights|altsyncram:altsyncram_component|altsyncram_i8k1:auto_generated,altsyncram_i8k1,work
      |gavgpool_layer:gavgpool_layer|,228 (0),219 (0),0 (0),0,0,0,0,0,0,0,0,9 (0),128 (0),91 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|gavgpool_layer:gavgpool_layer,gavgpool_layer,work
         |gavgpool:GLOBAL_AVERAGE_POOLING[0].gavgpool|,120 (33),115 (33),0 (0),0,0,0,0,0,0,0,0,5 (0),64 (32),51 (1),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|gavgpool_layer:gavgpool_layer|gavgpool:GLOBAL_AVERAGE_POOLING[0].gavgpool,gavgpool,work
            |accum:accumulator|,87 (87),82 (82),0 (0),0,0,0,0,0,0,0,0,5 (5),32 (32),50 (50),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|gavgpool_layer:gavgpool_layer|gavgpool:GLOBAL_AVERAGE_POOLING[0].gavgpool|accum:accumulator,accum,work
         |gavgpool:GLOBAL_AVERAGE_POOLING[1].gavgpool|,109 (34),104 (32),0 (0),0,0,0,0,0,0,0,0,4 (1),64 (32),41 (1),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|gavgpool_layer:gavgpool_layer|gavgpool:GLOBAL_AVERAGE_POOLING[1].gavgpool,gavgpool,work
            |accum:accumulator|,75 (75),72 (72),0 (0),0,0,0,0,0,0,0,0,3 (3),32 (32),40 (40),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|gavgpool_layer:gavgpool_layer|gavgpool:GLOBAL_AVERAGE_POOLING[1].gavgpool|accum:accumulator,accum,work
      |neuron_layer:neuron_layer|,789 (192),777 (192),0 (0),192,4,0,16,0,8,0,0,12 (0),389 (128),388 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer,neuron_layer,work
         |neuron:NEURONS[0].neuron|,389 (67),347 (34),0 (0),0,0,0,8,0,4,0,0,10 (1),163 (1),216 (65),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|neuron:NEURONS[0].neuron,neuron,work
            |mult_reduce:multiply_reduce|,217 (91),213 (87),0 (0),0,0,0,8,0,4,0,0,4 (4),98 (32),115 (55),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|neuron:NEURONS[0].neuron|mult_reduce:multiply_reduce,mult_reduce,work
               |mult:multiplier|,126 (0),126 (0),0 (0),0,0,0,8,0,4,0,0,0 (0),66 (0),60 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|neuron:NEURONS[0].neuron|mult_reduce:multiply_reduce|mult:multiplier,mult,work
                  |lpm_mult:lpm_mult_component|,126 (0),126 (0),0 (0),0,0,0,8,0,4,0,0,0 (0),66 (0),60 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|neuron:NEURONS[0].neuron|mult_reduce:multiply_reduce|mult:multiplier|lpm_mult:lpm_mult_component,lpm_mult,work
                     |mult_0ms:auto_generated|,126 (126),126 (126),0 (0),0,0,0,8,0,4,0,0,0 (0),66 (66),60 (60),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|neuron:NEURONS[0].neuron|mult_reduce:multiply_reduce|mult:multiplier|lpm_mult:lpm_mult_component|mult_0ms:auto_generated,mult_0ms,work
            |p2s:parallel_to_serial|,105 (105),100 (100),0 (0),0,0,0,0,0,0,0,0,5 (5),64 (64),36 (36),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|neuron:NEURONS[0].neuron|p2s:parallel_to_serial,p2s,work
         |neuron:NEURONS[1].neuron|,272 (64),238 (32),0 (0),0,0,0,8,0,4,0,0,2 (0),98 (0),172 (64),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|neuron:NEURONS[1].neuron,neuron,work
            |mult_reduce:multiply_reduce|,208 (82),206 (80),0 (0),0,0,0,8,0,4,0,0,2 (2),98 (32),108 (48),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|neuron:NEURONS[1].neuron|mult_reduce:multiply_reduce,mult_reduce,work
               |mult:multiplier|,126 (0),126 (0),0 (0),0,0,0,8,0,4,0,0,0 (0),66 (0),60 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|neuron:NEURONS[1].neuron|mult_reduce:multiply_reduce|mult:multiplier,mult,work
                  |lpm_mult:lpm_mult_component|,126 (0),126 (0),0 (0),0,0,0,8,0,4,0,0,0 (0),66 (0),60 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|neuron:NEURONS[1].neuron|mult_reduce:multiply_reduce|mult:multiplier|lpm_mult:lpm_mult_component,lpm_mult,work
                     |mult_0ms:auto_generated|,126 (126),126 (126),0 (0),0,0,0,8,0,4,0,0,0 (0),66 (66),60 (60),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|neuron:NEURONS[1].neuron|mult_reduce:multiply_reduce|mult:multiplier|lpm_mult:lpm_mult_component|mult_0ms:auto_generated,mult_0ms,work
         |sp_ram:neuron_biases|,0 (0),0 (0),0 (0),64,2,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|sp_ram:neuron_biases,sp_ram,work
            |altsyncram:altsyncram_component|,0 (0),0 (0),0 (0),64,2,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|sp_ram:neuron_biases|altsyncram:altsyncram_component,altsyncram,work
               |altsyncram_umj1:auto_generated|,0 (0),0 (0),0 (0),64,2,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|sp_ram:neuron_biases|altsyncram:altsyncram_component|altsyncram_umj1:auto_generated,altsyncram_umj1,work
         |sp_ram:neuron_weights|,0 (0),0 (0),0 (0),128,2,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|sp_ram:neuron_weights,sp_ram,work
            |altsyncram:altsyncram_component|,0 (0),0 (0),0 (0),128,2,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|sp_ram:neuron_weights|altsyncram:altsyncram_component,altsyncram,work
               |altsyncram_3rj1:auto_generated|,0 (0),0 (0),0 (0),128,2,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|neuron_layer:neuron_layer|sp_ram:neuron_weights|altsyncram:altsyncram_component|altsyncram_3rj1:auto_generated,altsyncram_3rj1,work
      |subsample:subsample|,32 (32),23 (23),0 (0),0,0,0,0,0,0,0,0,9 (9),12 (12),11 (11),0,|cnn_vibration_monitor_10M08|m08_cnn1d:cnn1d|subsample:subsample,subsample,work
